1769573781.910533 server started (50665): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1769573781.910548 on Linux 6.18.6-200.fc43.x86_64 #1 SMP PREEMPT_DYNAMIC Sun Jan 18 18:57:00 UTC 2026
1769573781.910558 using libevent 2.1.12-stable poll
1769573781.910563 using ncurses 6.5 20250614
1769573781.910609 input_key_build: 0x10e003 (PasteStart) is \033[200~
1769573781.910614 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1769573781.910618 input_key_build: 0x10e195 (F1) is \033OP
1769573781.910622 input_key_build: 0x10e196 (F2) is \033OQ
1769573781.910627 input_key_build: 0x10e197 (F3) is \033OR
1769573781.910631 input_key_build: 0x10e198 (F4) is \033OS
1769573781.910637 input_key_build: 0x10e199 (F5) is \033[15~
1769573781.910641 input_key_build: 0x10e19a (F6) is \033[17~
1769573781.910645 input_key_build: 0x10e19b (F7) is \033[18~
1769573781.910649 input_key_build: 0x10e19c (F8) is \033[19~
1769573781.910654 input_key_build: 0x10e19d (F9) is \033[20~
1769573781.910658 input_key_build: 0x10e19e (F10) is \033[21~
1769573781.910662 input_key_build: 0x10e19f (F11) is \033[23~
1769573781.910666 input_key_build: 0x10e1a0 (F12) is \033[24~
1769573781.910670 input_key_build: 0x10e1a1 (IC) is \033[2~
1769573781.910674 input_key_build: 0x10e1a2 (DC) is \033[3~
1769573781.910679 input_key_build: 0x10e1a3 (Home) is \033[1~
1769573781.910683 input_key_build: 0x10e1a4 (End) is \033[4~
1769573781.910687 input_key_build: 0x10e1a5 (NPage) is \033[6~
1769573781.910691 input_key_build: 0x10e1a6 (PPage) is \033[5~
1769573781.910695 input_key_build: 0x10e1a7 (BTab) is \033[Z
1769573781.910700 input_key_build: 0x10e1a8 (Up) is \033[A
1769573781.910704 input_key_build: 0x10e1a9 (Down) is \033[B
1769573781.910708 input_key_build: 0x10e1aa (Left) is \033[D
1769573781.910712 input_key_build: 0x10e1ab (Right) is \033[C
1769573781.910716 input_key_build: 0x10e1ac (KP/) is /
1769573781.910721 input_key_build: 0x10e1ad (KP*) is *
1769573781.910725 input_key_build: 0x10e1ae (KP-) is -
1769573781.910729 input_key_build: 0x10e1af (KP7) is 7
1769573781.910735 input_key_build: 0x10e1b0 (KP8) is 8
1769573781.910739 input_key_build: 0x10e1b1 (KP9) is 9
1769573781.910744 input_key_build: 0x10e1b2 (KP+) is +
1769573781.910748 input_key_build: 0x10e1b3 (KP4) is 4
1769573781.910752 input_key_build: 0x10e1b4 (KP5) is 5
1769573781.910756 input_key_build: 0x10e1b5 (KP6) is 6
1769573781.910760 input_key_build: 0x10e1b6 (KP1) is 1
1769573781.910765 input_key_build: 0x10e1b7 (KP2) is 2
1769573781.910769 input_key_build: 0x10e1b8 (KP3) is 3
1769573781.910775 input_key_build: 0x10e1b9 (KPEnter) is \n
1769573781.910779 input_key_build: 0x10e1ba (KP0) is 0
1769573781.910784 input_key_build: 0x10e1bb (KP.) is .
1769573781.910788 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1769573781.910792 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1769573781.910796 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1769573781.910801 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1769573781.910805 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1769573781.910810 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1769573781.910814 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1769573781.910818 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1769573781.910823 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1769573781.910827 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1769573781.910832 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1769573781.910836 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1769573781.910841 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1769573781.910845 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1769573781.910849 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1769573781.910853 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1769573781.910858 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
